family_id,upstream_path,upstream_sha256,upstream_bytes,upstream_lines,upstream_run_directives,upstream_check_directives,semantic_tags,fixture_source_set_sha256,fixture_binary_set_sha256,native_contexts,captured_events
SNF-000,lld/test/ELF/bsymbolic.s,a2c4c20bbe6c2aea27f7bad9b1c382e22a0bf8c1a077bcdec727dfd1c0034248,6681,197,28,20,weak;symbolic;hidden;protected;shared;preempt,0f630efae607e563427e8825efbf145a78510f1f56af40d5f4f15830c9bbfbf0,6ab630dd8117730d44478eecc3c5b015beadffbe9ea616438c8c6494511f2b88,16,992
SNF-001,lld/test/ELF/wrap-lazy.test,05b3e0e0c8e952c5565ac42ffdd640093f8b6efada158c7fdd396a24f89689de,2116,59,23,16,lazy;wrap;weak;shared,56bfa52284f01aad02c0e50c012598a88c360aac8f49450e53fa358a295f5769,cb570bab98d779b56dee1c5850bb9325d88b0bb2e53a31fe101613a3948aeda6,16,992
SNF-002,lld/test/ELF/lto/devirt_vcall_vis_export_dynamic.ll,a9ee398450dfe1b0763158edcfbabf0b7725aa5cbed0adba112c6e68da199d67,8913,208,67,87,visibility;export;shared;preempt;version,66a5cfedd4abc65c130213d39910202393fd92c9fa3b8c163824dea1f1c32df9,59cd18e298fd7dfc226fc15d592d7b224cac178e3da356aa5a17b3453f97937a,16,992
SNF-003,lld/test/ELF/push-state.s,c91b8c74edd207bf232473e40df885668ac8ef0e24d4a62a0878e777c84d47d9,1448,39,20,10,as-needed;shared;archive,1f5f367c0b354372a76ecf857a14e0872564f48861c95eafe26168747405bcd0,4e803ede11731cf6fa9eda3777cd43f8172de95025aa296958e383743fafb8f0,16,992
SNF-004,lld/test/ELF/symver.s,d55c5e44c13d9d5821a335b45c4e42a3c356c58c2f4648708a1cc6ace2a60230,8559,232,48,55,wrap;version;shared;undefined;protected;weak,12fb8b8f7a4b9d1ee15965a6ec5a847e41140f75a7fade42145637b6951cbf61,fdf057596cddb61172e6eda5df506670dddc23a2f9f184cda327e5b8ea08ace8,16,992
SNF-005,lld/test/ELF/relro-non-contiguous.s,1a309e1b2bd0cc1755590c14dbfd44c2c29f1931168fd714730356b5d304d0f6,2669,98,11,10,relro;shared,488b285d9e8f8798b74b3c77f3402d32bf80d98e4c24c446720e6b9ecd01626e,5ea32d30d1a5bc40834bfab07408f645bbab213b0b2f4587897bbe80fd2919dc,16,992
SNF-006,lld/test/ELF/export-dynamic-symbol.s,14f9677c099eb6fcd098c00ac9903613df96bcd75c681ec86b915955ec5b9640,4983,116,40,35,export;hidden;preempt;shared;symbolic,0dca2fec3adf3817fbb6c3eb270ea4de0cdcb1e216ba98b3fabf4b8daf00b611,3f55b2664fd18d16bf64d09274e54b62fd12601afc1f3e265feec1cea10a0221,16,992
SNF-007,lld/test/ELF/export-symbols.s,4a1f5feab58a0ed748e2eb469062ea56447402088a2c5ed00ae46484576937af,2108,71,12,6,weak;export;shared;hidden;protected,1c930cd2f450ccf1cae92863f5921299e3f98c79b902812a771238e02e8ead40,e775bfaa8a0a5596e292fbd645e8d4b832cc7d1684c3eb7d67e865e7898a7d2a,16,992
SNF-008,lld/test/ELF/arm-thumb-plt-range-thunk-os.s,c096b190749fc994c6fe9134c65de8ee21058abe637a4600566d5f85969a95a6,3159,100,5,38,preempt;hidden;shared,751f2f8c980f9f0e9e158134b6539d2e1e22a5e9b7e9af7b483530cb87e1049c,dcf735bfc5cc2372f1dde74c4f9df65b8f8931aceb43a378969f89e4d62d9762,16,992
SNF-009,lld/test/ELF/arm-thunk-edgecase.s,f58a9ddb14aa34f16d5eb9f789057a18f3606d87ae443e5acc8d230c5e046384,2588,49,22,12,shared;symbolic,eaf3ea587af5817a3ac187d0ace8daf6d432d8ca02f430c34cc0de09c1edbcfc,3e88951d3643df8d46f8e8edd347c1c82acaeec56c0ef4cc92cea13003426235,16,992
SNF-010,lld/test/ELF/aarch64-variant_pcs.s,01f33a395dfa1397b3422e532c605cc35fb5710cb41fd44d6ce43a7532e3d654,4403,128,16,44,ifunc;hidden;shared;visibility,4790cbd31f29eab33c20493b46a7b467f41f725f7f569cd32c13c3f87fed5b68,fcb156c8c374fe81bcd1a477cfb3fe174aa94173949101a2b2ac40263a3b0335,16,992
SNF-011,lld/test/ELF/whole-archive.s,3a524721472e1ca7a9b4b16b925c43147647b69a37c8510e57519ede51d106e8,1574,40,19,12,archive,4b56dbda034b959aecccd21003f7619965d39924e8a89aa5a09a56b2771192b0,a68ba62e64a0757ad502561a7a5dd87a831f9fe8145204d1aaf99fe6830437ac,16,992
SNF-012,lld/test/ELF/startstop-visibility.s,7e783851f7d9f27572dbe296a75638dbd102c756b7033d64d0d6b9f884d179b7,1433,45,12,24,protected;hidden;visibility,95b2233df9e86cd71f45990c8fa514c3dfc31fbe58b26f260a38453c6b1e8dc0,d7af2738b15c9485a2fb04f79ae56dead2368137deb665867dccbaf66eaf8a37,16,992
SNF-013,lld/test/ELF/why-live.test,131933285bef9708015f76ddef7d212f891329999467aa4f2912b45875af476d,9032,275,23,34,gc-sections;shared;export;undefined;weak,737f546938d70324dc740d079cfd15b90ebba9ad2d05fcdcc99fa51b82afadc0,b62a033e0fcc46323ce891ce30298e05cb239395f07412af39374cd106adf872,16,992
SNF-014,lld/test/ELF/lto/wrap-unreferenced-before-codegen.test,0efa7631e4404cc6175757e0bddcabe655600690378eb513042c532ac3daaf2f,3509,91,21,8,tls;wrap;shared,89c30b0e84b88e6ab91aabd7e14eaa67d388a766c3818ccd1d41469e44af3f3c,d8c4159e87363365872cf7b054c3141cea9ab704f0e1eee3dc369cf2e3674153,16,992
SNF-015,lld/test/ELF/interconnected-lazy.s,ed10bc7732c54ce168befdb74e1f67391245bb8c89aef38c2fd80ba5c3eb0ed4,895,42,5,8,lazy;weak,f98b6fb0241c56a3a1a813bd870d5183622623255a70e0fd08c904b9320a11e9,f2efdb5af106931825657f8b31ede7ef8c1fe3e0f183a61b8196a54e96ff0025,16,992
SNF-016,lld/test/ELF/undef-suggest-version.s,6412870da5f0ef5d73ed8dc54b0caf2d95c0a92430424a520ca03b9dc2cb7490,2457,57,11,12,hidden;undefined;version;export;shared,8b2537c16047a379a71c8a1b47ccf8876b600d8f54d8f01e28638a19aecb79ba,eca9a9e775d30be035e4626b844558ed684d50699560147c69e3f12878fc19d7,16,992
SNF-017,lld/test/ELF/verneed-weak.s,7d7bd4606286aab63996e81b834372e2f6d2b7c411b9da323254f0d7ce81228a,2796,80,16,8,weak;version;shared;as-needed,b491c7123dd12f8f041041be5961388d086a3cd212661db01754808d98d407d5,798dcc35f8fc35d614695a42556e009947bb3a7507cc0fa0dc2b41bc17c6197b,16,992
SNF-018,lld/test/ELF/gc-sections-print.s,e1a365857529b1838eaa105ec08a6160eda9c6f11348a70014e10a7f6a300eb8,1113,38,11,10,gc-sections;protected,cb74221e9414dcc533d05a72c6692fe553c167607184dffd920ae5da95557bee,d77f1164bab37790eea02b94907b3553e47f632189fd87ba2ed5b17f6535fc73,16,992
SNF-019,lld/test/ELF/lto/devirt_validate_vtable_typeinfos_mixed_lto.ll,201caed48f7cb3d3fdaeb87399a2053fc34e60460a57230da58105832eeb00ea,6983,183,13,34,visibility,753608581deaac3de9ecadf209149b84cd76baf0d850d987e7fa77c24708a7e2,a3c7f4732fbbdddfb0dc47842098f1423bd88ed82f4783ac75977ad0708eed3f,16,992
SNF-020,lld/test/ELF/shared.s,1cda20edb0835c49bae9e8047b59b71a9933dc32eba3799e21c702da0fe20c7a,9508,302,8,240,export;undefined;shared;hidden,86b31e3d843fefb970aa091770dd22eea1735105b901d59a014b1b8f5d0faeb9,902ee8dff572a4ae81f3c8051860dc52722583a4a95efa00330cbd0b350658ff,16,992
SNF-021,lld/test/ELF/symbols.s,efba06a71b735ea9f81c4c5a41e61b1175258449ef324aa3a63be795a9806bc5,4697,188,3,139,hidden;protected;weak;undefined,905b3d552196dfb92b856eaa253ae7ee613f6c6849e9d7016f137f2859415aa0,d58d04006d9f61ea237ddf0a1004b33dc62b36d9ad0f55b3c7119d8b66621871,16,992
SNF-022,lld/test/ELF/wrap-drop-shared-original.s,20560e8f92df91d8f766f24c89f28172daa24dc4ee40b51e7a26b43c83602a4c,1912,48,15,4,wrap;shared;as-needed,88a22b5af784bddb3683cec2f6fa429ea9dd443bab356e0f70ca38633d3a4669,7565d1e18d60fb100e9fa092e0cf1fe05771a046671ac8cbf620d09e39623a5e,16,992
SNF-023,lld/test/ELF/riscv-attributes.s,d54ecfafb702d5cf1afd68f0d72fb66d40c9ab008095e45e3637a05e9749b804,19546,509,63,131,version,63c227dd957baf0f4326c6cc482fa197b52afcea10497190b2e9669382d58960,f4692ac58efafc47ee10f84ec2f6f08465a9f6b3cc13d19ec065c739d9cde183,16,992
SNF-024,lld/test/ELF/resolution.s,11d9677f4f7c134ba6d7570e4279f27a06b51a7a9d2a0d7d715437da48424ee4,4197,112,4,27,weak,30a0cb9c39db9aae13193651fee2cd257cd21f6353f32263de1efac9bf650bab,a112754e039b34497202a470f14ebb08cb94686c4585537036c06ed68b4211f6,16,992
SNF-025,lld/test/ELF/copy-errors.s,96bb95fa19fbe4739d5f98e130cd57e6730040f32ce766ed6062ddd599f5a2a5,1131,28,5,9,preempt;shared;protected,ba7386c33fac726294b7e09d97dc38ef7b050f079067fc4793186446719f010d,c193caa90de7cfcf0b9ceffa03c66a766d0da0a327a1ae5cb46b05eed4e6168a,16,992
SNF-026,lld/test/ELF/gc-sections-shared.s,f07a913a2fcdbb70b3b8edd5b498006a8f17d934ae9a433b2b746bd2e9bd694a,1624,49,11,12,shared;gc-sections;weak;as-needed;export;undefined,f19de5822583b4ca8fdaa240aada3046463feed8f1c98003ac49fa95beb963e1,31338a7a555dd5a146dc62a99a49d4a9de23c57f583fe3911b800c6dfc1b58de,16,992
SNF-027,lld/test/ELF/gnu-hash-table.s,abf426d1eed21cec7b186052d9eb93165738dd44fa936a700cd2145601d45843,8385,256,40,10,undefined;shared;weak,35b79fbb6ce2de04538710c346d51210bf3ca0abe5e8ce44833e50c9875ebcad,f24a973d806a49e994cceb28c4d98a722bfbed7c0acc15642e920750544f0fcf,16,992
SNF-028,lld/test/ELF/verdef-defaultver.s,11bce3ea9451f3b5e2350c56f71c4c6c242eb0bd241bbb7a8e9e5f98a0ee991f,5989,216,14,9,version;undefined;shared;preempt,185fd7b920124836ebfa0b2abdd371b9cac2e9f441426422b590539006788d15,a74f5f37cb94c33226167f868946784d3b25cef0fff9255271e6a5bdef7e8688,16,992
SNF-029,lld/test/ELF/loongarch-relax-pc-hi20-lo12-got-symbols.s,25265115f5c5a6e67092c5178bcdfa5ea1f415b11152786003b938194d63afdd,3239,90,13,8,ifunc;hidden;undefined;preempt;shared,e3e827bd9337dc4d3a3d0e4adc892dc9ef3bad43a123a97ef0aa78dcbaffa451,4adbeea931b5a81560755c3af8130b5eec77d418a55c1c09e832d1db247a7f19,16,992
SNF-030,lld/test/ELF/lto/devirt_validate_vtable_typeinfos.ll,cdcdcd723191a03985ddc1921bceff0e9b3352c4abf160ebd6447c687601ed19,13402,263,79,142,visibility;shared,445913e3b71f0dfbf739cc89805d079eacc32ebec2c2d5f9002d406e60515bf9,af33754492f8faf3ad96c7022e00408181b0d2312f7d431a700df400038939de,16,992
SNF-031,lld/test/ELF/riscv-tlsdesc-relax.s,c009940a4d1d3127eb4f21cbeffc1af0885ba53e302755d256eaf3ddf05b28f6,7261,197,13,10,tls;shared,7c9a795c996e353945a490637b7dc66a600bc3362fdf82433ca79320d0e4be8f,96ab543988005374d81f3c28a8bc64777bc76d63e81a2e3ae5d2415f188b48c7,16,992
SNF-032,lld/test/ELF/local-symbols-order.s,25ec642d6d65be26c630688f61d0acde640e30b6c4fb49c065dcdcc8ee4051a0,5530,145,16,25,hidden;export;version;shared,1f6d458082259cfc23a42a7ef5bcf625f89508fd7ba390986b454709fd2ec961,e5724630a7e5526ba1dfb8df96d86b6955da2123192a4e0ec40eadc0a3968655,16,992
SNF-033,lld/test/ELF/ppc64-toc-relax.s,c037324fbbba5c1adc511a36ee12f6b9c0d933801849edbd7889a2136c4f6dbd,4213,107,20,16,shared;hidden;preempt;visibility,6251acc1c674c6be8748c43993083b83a3fa3c434a7e7294eabebc433635750d,2082db650f8b61030564d962343c4258433d7a67a84aec57b19ef8bef6c02735,16,992
SNF-034,lld/test/ELF/aarch64-ifunc-bti.s,19e17e98777a6d5faa5118d48c8c5af4ff4b9c515488e17abb460166bc3739b3,3011,93,7,36,ifunc;shared;export;symbolic,c8e69d1eb30b9f7da6096567138adfd9bcdcb656d3e77feb7c5cc42bf29fc335,2460aa90e4cb75f893b501408dbdf6d8baf0cd07510cd87374d1fb765b60c811,16,992
SNF-035,lld/test/ELF/shlib-undefined-local.s,5ff6356c5a433818ad52772403fc892093979f6fe0bae25b71e6396bf15c8609,567,18,5,2,export;shared;undefined;version,b410d5c4e9789ced5cbad474aab8a608e10d68a54a095a97762d47e1566996af,663c48ad51cb8c9805a77990596dc16bf01bb103241b44c12bac1dc471973906,16,992
SNF-036,lld/test/ELF/as-needed-weak.s,51f6ec53ad2603ef4ce6c2f2fa4b025f55f64562e88892a144896b5d4c58e444,732,23,6,6,weak;as-needed;shared,71ab03aac243cb7c6cfd967e13133efcf6302bd095aaa555208e0171a41a76bc,bfd34148f50782cd108949ea0daa592678db4a6f1c93f5a79bf1fa780d5b7352,16,992
SNF-037,lld/test/ELF/trace-symbols.s,0594853b7cedfc4263fac00e58448c13a69b1f14bd198db47323cde9d9c04239,4220,98,47,38,shared;archive;preempt;hidden;lazy;weak,e5082d019b55668c3e45450b51a0b8c92b4931c8347d1362188bc543730aefd8,3502d373884f5df944533c276f801b545df4be78b66af236b7b3f412cc2b5d75,16,992
SNF-038,lld/test/ELF/allow-shlib-undefined.s,23a71f6d2be1b1ca1376c972e84c9aa980f44d9b80c15a80df384318202b009d,3677,89,27,33,undefined;hidden;shared;export;gc-sections;version,cb542cba456eb1b09b554e3a579745b5d7c7f3658e820d4626f91049054ba229,3ce6e27be2b941a0bfe3b518e4ec3beffffe7a592193a5cf1e840e7d8c27c173,16,992
